l_bound_date,facility,common_name,parameter_type,day_or_night,min_value,percentile_5,percentile_25,median_value,average_value,percentile_75,percentile_95,max_value
2025-07-22,CC1,CEA1907,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1907,humidity,Night,60,60.1,60.2,60.2,60.24,60.3,60.4,60.6
2025-07-22,CC1,CEA1907,humidity target,Night,60,60,60,60,60,60,60,60
2025-07-22,CC1,CEA1907,indoor PAR light,Night,53,53,54,55,55.21,56,57,57
2025-07-22,CC1,CEA1907,indoor daily light integral,Night,0.03,0.23,1.18,2.4,2.4,3.56,4.55,4.74
2025-07-22,CC1,CEA1907,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1907,temperature,Night,22.16,22.18,22.21,22.24,22.23,22.26,22.27,22.29
2025-07-22,CC1,CEA1907,temperature target,Night,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22
2025-07-22,CC1,CEA1907,vapor pressure deficit,Night,1.17,1.17,1.18,1.18,1.18,1.18,1.18,1.19
2025-07-22,CC1,CEA1907,vent required,Night,31.67,32.85,35.5,36.3,36.11,37.2,38.3,38.95
2025-07-22,CC1,CEA1908,CO2 sensor,Night,388,390,395,407,409.02,421,436,439
2025-07-22,CC1,CEA1908,heating required,Night,0,6.35,65.7,99.7,77.85,99.8,99.95,99.95
2025-07-22,CC1,CEA1908,humidity,Night,49.2,49.9,50,50.1,50.58,50.3,54.9,56.45
2025-07-22,CC1,CEA1908,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,CC1,CEA1908,indoor PAR light,Night,2,598,599,600,582.79,600,601,613
2025-07-22,CC1,CEA1908,indoor daily light integral,Night,0,0.01,0.04,12.72,14.44,25.69,34.62,34.63
2025-07-22,CC1,CEA1908,light operation,Night,0,0,0,0,33.33,100,100,100
2025-07-22,CC1,CEA1908,temperature,Night,27.64,27.8,27.89,27.97,27.98,28.03,28.11,29.09
2025-07-22,CC1,CEA1908,temperature target,Night,28,28,28,28,28,28,28,28
2025-07-22,CC1,CEA1908,vapor pressure deficit,Night,1.51,1.6,1.74,1.75,1.74,1.76,1.77,1.9
2025-07-22,CC1,CEA1908,vent required,Night,1.3,13.45,29.9,31.65,28.78,32.7,33.3,34.7
2025-07-22,CC1,CEA1909,CO2 sensor,Day,452,456,460,471,476.33,491,516,519
2025-07-22,CC1,CEA1909,CO2 sensor,Night,472,474,478,501,501.12,521,524,525
2025-07-22,CC1,CEA1909,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1909,humidity,Day,69.6,69.7,70.1,70.3,70.92,70.7,74.5,74.7
2025-07-22,CC1,CEA1909,humidity,Night,69.9,70,70.15,70.2,70.19,70.2,70.35,70.4
2025-07-22,CC1,CEA1909,humidity target,Night,70,70,70,70,70,70,70,70
2025-07-22,CC1,CEA1909,indoor PAR light,Day,598,598,598.5,599.5,599.31,599.5,600.5,603
2025-07-22,CC1,CEA1909,indoor PAR light,Night,43,43,43,43,43,43,43,43
2025-07-22,CC1,CEA1909,indoor daily light integral,Day,1.34,2.97,9.43,18.06,18.33,26.68,33.69,35.31
2025-07-22,CC1,CEA1909,indoor daily light integral,Night,0.02,0.06,0.29,0.6,4.94,0.91,35.7,35.73
2025-07-22,CC1,CEA1909,light operation,Day,100,100,100,100,100,100,100,100
2025-07-22,CC1,CEA1909,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1909,temperature,Day,19.99,20,20.02,20.04,20.05,20.07,20.13,20.2
